"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
1011.84,12266.1,933.323
1072.35,13448.7,2127.12
1396.27,20572.5,4928.9
1431.44,7488.82,2168.9
586.574,6282.43,2173.24
843.883,13022.2,6843.68
1122.19,4464.76,9976.28
203.132,8732.87,6216.7
157.046,8379.05,17223
2485.97,21029.2,5592.67
360.287,9609.19,7457.08
941.553,20837.3,827.129
554.391,8561.06,7169.07
2083.71,19608.3,21264.7
302.281,15249.6,11611.9
2006.04,15743.1,10200.4
1085.85,21519.5,21300.6
1581.07,23045.5,19710.4
914.659,12492.2,2155.01
415.084,11211.8,943.551
1143.74,19433.7,4946.38
879.609,7154.67,9042.63
725.629,16732.4,5066.81
1069.55,5924.01,3045.14
909.659,17678.2,11950.6
2089.69,19035.1,10251.9
783.936,9964.56,19452.8
552.666,10547,798.077
1251.21,23630.9,7158.9
751.875,9607.59,8056.75
1683.74,23794.4,13044.3
714.29,22929.8,28056.1
863.307,8554.65,4146.1
775.935,18533.5,15549.4
554.51,14194.5,2586.06
4259.53,20652.5,30631.2
745.829,11771.2,5673.34
773.154,9876.12,4532.46
2731.37,13550.6,3001.83
1244.6,8095.02,12840.5
426.4,11302,5784.29
498.769,21067.7,9138.18
3502.71,34097.6,4541.11
1361.84,12940.5,6495.8
1043.62,17238.7,13862.4
1030.38,10826.1,16496.4
1641.14,11989.9,1013.88
1085.71,22963,6980.98
867.661,4180.14,17405.3
5402.46,4321.44,28336.3
1062.49,15839.3,26205.3
513.233,14882.1,7614.45
1507.57,17440,13208
535.301,11165.3,4556.94
2329.89,25144.3,19310.2
1649.02,17622.7,45054.3
948.587,10481.3,8178
917.645,15850.6,7379.39
1563.05,22758.6,21179.7
614.951,9148.54,18056.4
399.361,5956.24,10984.6
1770.74,17941.9,6602.92
1064.14,23628.4,6438.26
1006.19,22829.3,3617.22
700.625,15709.3,7143.71
1757.55,20986.6,1691.97
671.603,14556.8,29551.8
1022.88,12691,9612.97
865.545,9314.69,674.123
586.615,27060.7,24155.1
494.744,12360.8,6175.05
668.999,19869.2,4382.32
722.052,19472.7,2534.4
979.889,15325.8,7298.89
4125.88,7013.98,51790.3
374.025,10267.3,2150.98
636.471,8149.28,12098.4
2109.65,14491.9,3459
1348.23,16425.3,6965.39
1917.14,15369,7508.07
926.201,19654.9,764.236
619.147,17219.3,1844.8
561.713,14366.1,23836.2
1854.77,20750.4,4951.55
2445.37,4073.41,23623.2
1480.96,19082.4,13757.9
2958.24,21314.8,12410.9
1025.74,14953,5433.48
1072.23,14370.6,4936.52
277.457,15490.6,4523.2
