"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
2745.76,14352.3,7833.25
780.578,8151.63,76.1675
3033.48,12809.1,3046.46
12816,6219.3,2814.79
1119.78,4808.02,5218.77
5942.71,5470.04,8777.57
2136.52,7298.44,5140.64
18546.4,11530.2,4360.46
22921.5,9833.57,1306.32
4808,12360.6,4448.76
11758,17437.6,8471.86
1199.47,6865.37,4300.05
6335.74,12624.8,3022.81
757.332,7511.6,1239.47
18936.1,8807.44,2268.29
893.693,6490.32,2936.07
12899.5,9506.97,4719.25
15559.6,10896.5,2868.11
40214.8,13202.2,5620.62
3159.93,8992.87,8088.14
9240.25,22162,3228.17
9607.43,9502.01,5576.58
15530.1,9251.15,576.721
731.508,7322.02,2256.08
23764.4,8830.55,3069.64
12696,8198.1,480.67
561.553,7339.99,2270.53
9340.75,6627.09,2390.76
6591.39,10336.7,3542.47
15141.3,14288.5,5961.45
4036.69,9353.12,5633.77
2315.08,16466.2,6420.27
7638.3,6016.4,2655.12
4561.11,5966.44,1028.36
18831.8,4502.63,1544.45
14433.3,7183.92,680.899
21938.1,5661.01,6513.15
2345.22,9037.06,6513.47
23342.7,6812.22,1959.43
19921.6,5274.48,3382.86
5143.3,13927.6,525.155
5503.68,13162.3,14800.1
21778.1,10381.7,2065.82
10555.7,17462.8,3110.3
21757.5,18788.7,17545.9
12858.9,10005.8,10498.1
3538.46,7446.84,671.591
12934.3,4121.36,54267.2
3509.7,11505.1,7903.11
21131.2,6781.74,12199
17137,6177.86,5563.07
25507.2,9710.16,5380.54
7272.91,8760.25,2267.54
5461.28,12219.3,1299.6
2021.13,11400,9742.39
17608.4,11173.1,9155.33
2204.84,10716.2,18539.2
14629.5,11013.6,7528.57
33081.6,16690.7,698.318
4716.92,12501.7,1102.2
7547.12,12205.6,3760.56
475.702,9907.57,6364.25
7247.06,14858.1,7360.5
8364.79,11805.4,1748.12
2916.92,5013.65,4327.02
15935.5,14830.3,7512.36
2579.11,4226.8,4413.98
12241.7,10651.4,792.302
3813.78,9648.37,1094
3572.16,4573.57,510.206
8003.82,12104,6177.61
5615.83,8498.44,10967.5
22345.7,10716.1,1665.86
66586.7,19681.4,8186.75
8029.44,10655.9,4202.87
17140,9707.5,8269.78
37793.3,14295.2,1060.25
21474.4,5532.46,7561.16
6055.33,6678.49,7827.51
30947.7,15361.8,1768.94
5500.89,3579.9,564.146
12819.3,7656.78,5287.42
11996.7,5868.96,1889.01
1271.48,6870.65,6737.87
16202.3,6736.53,22251.2
25213.9,9460.26,2191.8
54.2721,6722.17,48951.8
5865.72,10315,1392.53
4045.47,10709.7,1468.26
9563.13,11178.4,12645.1
2237.79,5515.93,2164.56
3487.86,10050.1,1413.62
25567.5,12828.8,10031.4
25467.6,11658.4,13165.3
2901.94,13030.4,3566.45
8576.09,6110.44,1406.15
14513.9,10679.7,9596.62
3565.65,11983.2,6561.25
22474.3,20985.2,7531.98
4098.51,8720.4,4074.65
1705.15,8723.96,4747.67
18948.9,12092.8,21050.6
18780.2,12286.3,5791.66
22524,8926.8,4631.64
1376.73,6388.03,5741.34
36773.9,14113.4,13231.3
18958.7,4584.53,3426.18
1936.65,12782.6,8759.79
37670.1,14204.7,2518.86
18851.1,15904.2,6877.35
20230.7,8086.35,5780.9
4795.11,13014,10824.3
8004.42,9187.91,5882.55
17195.7,7414.88,1512.09
433.116,18530.4,13234.4
2941.12,6350.84,8489.97
8820.14,18574.5,12053.4
13495.6,6362.03,3276.43
40333.8,18778.5,1087.94
1134.81,5354.62,4624.64
10970.8,6912.75,1778.73
1204.71,14072.2,4258.97
30611.3,12497.3,12450.8
7819.89,9960.1,11760.9
3286.04,11736.6,8900.95
11150.2,15082,4083.77
10626.2,11121.2,4666.13
4305.78,9371.19,7044.39
7742.84,12623.3,3506.52
4629.34,10875.8,540.289
29314.4,15750.8,6144.74
605.635,5611.35,452.678
9391.66,15057.8,22353.6
4811.2,9432.14,6170.09
3126.26,10018.3,1222.18
11412.5,13034.6,1300.95
3010.58,15996.4,18973.2
9120.71,8149.05,2478.19
348.721,7267.83,601.615
3871.77,5836.7,1741.13
23898.9,9979.47,10785.2
3662.13,10374.3,10454.2
9930.59,6005.3,2485.8
7006.28,10573.5,5014.68
16748.4,3608.04,17654.1
917.05,16169.1,932.236
403.308,8168.56,4265.93
13853.9,7992.46,12206
8371.03,11089.1,4401.66
18851,11566.4,5176.93
10905.3,11236.7,20786.1
212.112,4716.98,2174.22
3296.39,10308.3,1683.26
2603.46,8128.4,20445.4
7978.74,8034.21,2017.89
824.605,12206.6,6285.66
13812.1,8558,641.226
13175.9,4760.2,4358.96
36516.6,18194.6,20578.2
16845,12953.6,5792.42
4191.56,9120.35,2338.81
334.692,10455.9,3207.71
17530.1,7498.57,2903.7
5370.55,11328.8,28887.7
2853.84,21656,1160.02
34852.9,18873.4,11549.6
2707.62,14816.4,20693.9
19243.6,5117.76,3133.44
3415.61,15583,5249.74
-299.975,5393.17,7040.38
9937.56,9481.55,4786.68
8149.5,20798.6,3323.71
4500.72,7438.6,10525.2
25135.1,3454.68,43306.6
13501.5,8897.54,7716.17
17116.2,10347.7,8355.11
1552.33,12848.1,1840.35
22026.5,7174.36,1979.6
30671.8,12843.5,3597.71
7320.22,14140,13434.1
23981.1,6754.1,7032.92
23737.1,13828,5261.95
17884.1,9985.68,2793.2
24157.1,13188.1,23414.3
8464.25,12497,5703.02
11123.4,8213.01,8863.54
11797.5,7016.05,1835.67
1176.39,4351.85,1754.42
33256.3,14470.2,14080
4717.75,5891.26,13298.6
29068.4,11139.7,8180.01
22834.6,6428.56,7000.82
7009.66,13926.3,4193.73
32808.3,21599.9,21556.7
11750.2,10404.5,3341.91
992.248,8111.92,3526.06
16780.9,9969.82,1785.17
6582.51,14924.3,1681.69
13704,18058.8,3896.46
11982.6,9439.85,4467.01
20145.1,12117.3,3262.35
6855.29,18734.9,9734.46
5761.73,4202.32,12576
3551.91,10913.1,1858.99
5062.25,21217.8,6580.47
1493.78,6163.53,3366.73
2433.23,13291.8,3712.94
12520.1,9703.9,800.997
21989.3,12233.4,16785.9
41787.7,9164.63,703.566
52797.3,17129.5,2886.74
22406.4,11241.4,3331.83
11313.6,12658.4,5799
442.8,7904.68,1565.31
25339.6,20443.1,11736.5
34861.7,13336.8,1635.19
40393.4,21129.9,6937.11
22078,6560.93,7660.52
10358.9,12275.8,6868.72
5919.45,10175.3,5161.04
1380.09,10677.5,2090.95
15636.2,15147.2,14498.5
3146.14,8131.86,2771.51
27967.5,10818.4,1977.18
17903.6,12871,11836.9
1677.4,14805,805.103
42024.7,12167.7,2612.37
629.038,10770,6390.05
5279.31,11270.4,3133.95
51833.4,19948.1,33702.8
13648.7,14870.3,12546.2
501.786,10874.3,5616.63
19108.1,13384.8,11235.5
32374.6,9231.8,4360.36
7995.13,9491.54,3937.49
12035.2,12510,1245.99
21074.8,11309.3,3561.23
6454.93,15055.1,3502.16
9542.54,6640.35,4537.21
946.891,12105.2,10323.7
15086,11039.8,11880.8
25931,18215.3,7593.5
20618.3,7726.86,4181.23
23997,15373.5,5064.12
12030.4,11082.1,2088.32
9174.57,15634.6,10058.9
23172.7,13053.1,8643.17
1322.04,9634.31,3763.33
12018.6,7549.75,3094.09
11778.2,17595.2,5199.28
8359.01,11630.4,4924.1
3515.53,17395.2,3700.25
2667.41,12748.3,13422.9
27049.2,30512.2,21355.7
16496.4,7318.75,4321.08
33470.2,15728.7,61590.5
4710.5,5914.36,10279.6
2453.97,7105.64,693.876
20250.4,15607.2,3343.04
13244.3,11714.6,9105.2
12808.1,9238.27,1680.63
11294.2,20052.6,11799.1
35803.9,19200.7,4124.43
451.194,8550.1,5831.45
13112.1,16865.6,11214.7
5089.08,6465.91,558.031
5351.85,18292.1,6669.17
12207.8,9133.86,16337.1
18711.7,11485.7,16862.3
1153.77,9979.23,8352.83
12047.4,17305,16812.7
10187.2,5734.4,1029.03
13045.6,9069.65,6341.59
8720.09,12866.4,13956.3
10121.6,18485,1726.32
17574.8,18034.6,12644.3
13678.9,10166.7,1956.19
28867.6,16533.6,5557.18
876.279,7595.7,1046.06
2139.9,10961.9,1005.03
10345.6,12712.1,7576.53
22508,10773.8,7255.67
1457.81,6226.43,2095.49
19221,15297,2858.15
24220.8,11023.4,7966.86
5759.44,10067.6,6347.02
10696.6,7524.55,4509.1
2827.72,9091.69,8403.89
20326.9,16075.4,1117.44
7969.09,20698.7,3932.69
669.857,9012.48,3444.5
19793.2,7126.82,1443.26
20597.7,17294.9,1275.43
6703.89,18705.2,2966.41
25421.7,17662.5,10906.7
5549.56,8262.14,4048.08
2666.82,11359.7,1291.43
20027.4,16566.6,4026.15
21269.2,8808.35,2670.54
3116.18,4536.8,2212.04
22276.8,14091.6,15853.2
1382.49,7335,4600.53
7148.59,13024.6,13795.6
37347.4,10671.7,2708.87
7946.63,15505.5,8535.9
8778.92,8534.08,17140.2
7198.6,12195.3,13546.3
15885.1,23866.4,27983
26795.5,20916.2,26517.4
52081.3,19730.7,16129.7
13924.9,10483.9,17456.5
17351,11290.7,7759.75
5918.41,6757.42,5933.74
1177.31,7065.38,2164.09
7820.73,13950.6,10172.9
5370.52,9694.88,4175.99
3442.98,15631.8,2618.53
16216.3,11760.5,3659.85
4049.08,11841,616.173
17200.3,6879.83,7807.25
27977.4,12552.7,5248.5
25443.9,12782.2,8515.62
18668.9,12894,18029.8
14354.2,15660.4,4215.51
7609.21,21675.4,18377.2
1664.81,13949.7,4526.51
4145.09,14480.2,6856.42
2632.26,11689.2,7160.25
6804.86,14250.3,10782.4
6461.17,16061.3,9488.74
1149.35,7771.19,7859.93
21467.8,21590.1,18462
485.741,8373.54,3116.22
44189,14524,7531.57
1163.05,7151,2260.96
18164.2,12952.2,3027.64
13802.2,9815.06,2619.52
10049.9,18935,6878.35
172.137,4074.49,3435.63
34995.8,16516.1,4173.3
6232.88,8159.27,2116.42
11120.6,12438.9,4946.34
18585.6,21829.7,9275.55
4053.51,9719.31,767.868
6968.21,10036,1903.61
2225.1,11090.1,1532.32
7668.17,14471.5,17831.5
41184.7,17694.6,2273.73
801.707,5682.31,10733
42182.6,34015.2,16968.5
920.427,13480.6,14296.9
31994,16782.1,8233.34
1664.28,13074.4,13382
2920.27,6106.45,3430.5
20599.7,24833.3,20546
23499.5,22984.3,14316.5
2085.02,21269.9,6563.33
5582.25,16892.7,4035.1
1595.25,9702.55,3274.63
12350.8,27742.9,25976.7
773.504,5847.64,2466.92
2092.97,14908,17674.2
222.826,10924.1,2019.59
15201.9,14090.6,5768.9
2768.71,7685.97,1374.65
21086.1,17044.9,14510.6
5266.05,10027.7,14470.2
4582.98,10237.8,5885.78
1041.57,4694.65,178.324
32774.4,16312.6,1847.31
26290.1,14407,15480.1
9862.32,15499.9,3061.42
29283,11840,3592.82
5449.68,6030.08,3863.39
17262.3,13578.8,2939.89
769.449,12841.3,17760.8
17521.9,19810.3,15383.7
1952.59,14041.8,1247.73
3078.82,13337.7,13282.5
871.583,9537.26,2352.72
9173.72,9035.46,3976.7
