"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
1440.56,11241.8,1703.76
1364.75,5416.35,6932.89
23540.9,14008.1,3608.46
12418,24371.2,29286.8
31643.5,15052,2604.08
4754.61,7491.07,4589
115.836,7616.98,2091.74
5807.42,20343.4,8870.05
25613.5,15768.8,4355.95
11609.1,12227.8,1068.55
23450.6,15250.4,15366.1
20247.2,18802.5,19739.6
1763.01,14587.1,3299.38
7358.84,26090.2,11779.6
485.475,11772.4,6414.29
4381.08,15212.8,1397.29
14037.4,18061.3,5316.45
1516.52,11527.8,290.348
10493,11974,11210.6
15515.4,13981.5,14857.2
19738.9,18498.3,8519.25
6265.07,11806.2,1673.04
36907.6,28885.8,15052
19887.9,12362.4,5766.47
5604.22,10962.5,4264.05
19925.2,15164.6,18259.7
1723.6,15953.7,3022.06
477.857,8291.17,8874.2
943.836,6987.47,7599.55
179.881,5134.23,4483.16
14936.3,14788.5,12258.5
3204.63,7521.65,7301.53
8250.73,12860.3,1082.21
370.878,10326.4,13016.3
42788.1,21679.1,37605.9
10697.8,12839.3,15680.2
27807,25120.3,7190.44
3375.31,6820.4,9377.8
23079,10515.6,4139.72
9352.45,16622.7,4821.42
41101.6,9335.55,4713.25
6576.91,13466.2,8414.06
1484.24,20018.2,3963.48
39778.7,24352.2,2311.27
1612.21,11976,27667
27412.3,25322.1,2573.1
29825.3,20357.9,2900.23
1392.74,8667.27,1081.24
43486.9,19924.6,832.587
5226.38,14983.9,8631.41
5405.27,12212.6,18173.2
5311.19,7959.15,2278.13
5109.12,12384.5,4044.49
888.298,9374.38,20699
33118.3,16783.5,7829.45
11160.3,10259.7,5848.56
29627.1,16287.3,157.824
18582.1,15873.3,25922.6
2553.17,12052.6,2548.62
3478.62,15635.6,14531.2
18651.9,19393,10262.8
28168.6,22168.5,3883.37
34987.9,25122.5,4748.86
18352.9,21553.5,5433.8
26212.4,26392.4,15719.7
21469.9,13978.9,2519.46
27842.8,18463,2301.11
2635.25,10472.7,19553
45485.2,25865,3666.8
12458.4,9055.89,36000
13216.8,14891.8,5138.99
21306.6,28907.1,18233.2
207.826,18418,547.157
1909.89,7576.16,1206.65
8160.4,24008.8,43407.1
771.75,8002.69,2397
40963.2,19896.3,3532.32
15148.5,8648.79,25348.7
34915.2,16502.4,11065.7
7366.35,15967.1,2023.57
8421.95,14262.2,3724.84
14918.5,8329.93,7883.71
40369.5,14034.7,9832.77
8043.86,18703.9,1977.71
626.967,8947.56,6843.54
2204.48,12586.7,10994.7
46585.8,17613.7,17275.6
26844.1,25556.6,11097.5
14265.6,12088.7,12006.7
1290.33,15884.7,39042.1
20599.1,19019.6,10064.6
45507.8,15822,10092.8
8934.6,11881.9,4712.42
4276,8041.44,2167.86
1847.96,11783.3,15131.3
6924.78,9533.29,7904.05
24735.7,21093.7,18185.1
655.122,13124,4435.74
3108.9,12624.4,15734.2
16685.6,22076.6,1310.8
26971.1,18709.5,8211.08
3456.6,9726.03,5289.16
2929.77,13972.4,4536.58
24610.7,22468.9,10604.6
1127.52,7606.6,9231.05
289.67,12223.1,4254.45
254.034,11570.7,9046.17
13107.2,10838.8,3383.62
5392.82,11072.7,2792.44
23459.2,18959.8,8124.99
30810.1,18495,6500.83
25487.4,28362.3,8795.47
46482.9,12786.5,6280
18722.1,14752.4,5118.76
7582.25,12549.7,4807.56
13505,20195.6,11196.1
434.993,9580.92,3312.57
38720.7,16171.5,21384.2
12641.9,21260.6,11281.6
16230.4,9777.07,23507.3
1071.68,18364.3,2502.61
16780.1,21226.8,15078
2588.49,11478.7,19866.6
23506.4,26623.3,6458.95
14393.8,16785.7,2270.4
26658.7,14685.7,7777.79
11886.9,13745.7,2688.69
13822.2,16219.2,4133.84
34613.2,14919,26467.1
12395,11932.9,2440.62
11731.8,25753.2,5969.9
413.92,5345.83,3782.43
28029,4336.78,2613.38
574.369,11452.4,25129.2
3405.63,13155.8,29425.3
10091.7,12118,5470.2
6658.05,22720.2,4054.76
1880.62,20760.3,9479.49
27713.9,9931.68,4179.93
28508.3,23797.5,3042.09
14831.9,13685.3,9538.47
5561.64,14302,12577.6
28358.6,28945.4,3190.99
6357.58,9140.19,3843.81
22286,10735.4,4187.02
5653.33,16915.5,12745.8
8144.2,14277.2,9862.1
12698.2,21057,7903.9
5614.16,7884.46,3828.86
17962,14734.7,2017.19
5114.07,13376.6,2130.2
21947.3,16709.3,6137.73
39750.9,29565.8,6455.3
19177,15817.4,6749.92
335.643,9178.75,5457.57
70583.9,22191.7,38983.7
27063.1,12204.1,16724.3
6019.81,13080.6,9262.74
30704.3,14913.7,5040.74
107.026,10233.3,5042.05
7791.8,14903.2,2538.63
4426.54,15928.6,3878.15
10762.5,15680.7,38504
11354.2,12102.2,63251.9
12438.9,10980.9,1333.09
11071.4,11651.9,3623.23
113189,25864.3,11916.4
384.25,5721.4,4832.94
14054.2,14126.2,14681.7
29457.1,23250.4,33986.1
38799,21565.2,8163.55
35685.5,16448.9,3295.99
12680.5,16559.9,6069.22
4098.21,20285.1,792.951
