"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
7222.69,8204.75,10034.1
42153.1,18867.3,17203.5
9741.11,13357.4,3200.55
21056.7,25317.7,13965
15865.4,17262,6958.56
57188.9,18778.2,38977.7
39769.2,16058.6,1948.25
13724.3,15015,2087.83
3874.2,15933.6,2622.94
16866.3,22794.2,30084.6
20666.5,14647.8,5020.84
35512.5,15379.1,19065
3409.18,14539.2,17137.7
18397.1,10764.5,2083.86
10262,13704.6,1416.46
3964.27,15538.7,5859.42
1195.75,5958.88,7544.33
26452.7,11299.8,23936.4
2857.72,9377.59,6724.37
729.491,5759.09,4833.35
1131.98,8140.63,2199.14
2663.6,10920.2,4119.47
313.54,6901.73,2245.67
5438.32,10244.2,16876.5
597.675,10148.8,2317.83
6070.84,11929.9,28465.5
939.011,15683.3,740.671
14894.2,15682.8,3644.82
3504.06,14078.1,7762.98
29562.8,18619.7,8279.42
10751.3,15440.8,4657.82
1981.76,17843.7,10160.9
16492.5,20494.4,12022.6
10680.3,8266.09,3734.07
4615.58,13664,18213
13162.8,11326.9,4853.65
16086.6,13186.1,5071.88
22685.9,18181.5,11749.7
4070.12,8969.63,941.607
3474.7,11839,1304.62
28353.9,13783.4,6799.9
1826.12,15878.5,2332.87
5962.79,19372.8,2254.49
7041.53,8286.5,13076.9
24106.4,11858.8,10244.7
24300,21396.7,7439.75
22252.5,10513.5,15218.9
6182,14916.5,4061.22
806.763,7730.37,1738.74
46798.1,17805.3,12259.7
5403.34,14040.2,8874.53
18872.4,10338.2,11048.5
30559.1,22471.5,26423.9
2421.21,11661.9,6351.17
3849.07,13525.6,24280.8
16287.8,23519,29831.6
3828.59,16190.5,2341.17
716.023,18684.1,1537.14
32674.8,13584,11572.2
26031.4,16908.9,3978.15
2347.14,10730,1472.89
30694.3,10818.9,8012.7
21117.1,7250.76,26939.5
8257.14,15572.9,31423.5
27565.6,7957.37,16356.5
8087.48,5149.27,3737.9
536.03,8525.17,5747.67
2647.15,20928.1,4788.14
1970.33,11826.2,1165.81
1223.33,12022.1,1746.49
21179.5,18285.8,6858.85
728.166,9469.02,1275.16
20264.9,20850.1,4610.01
11879.9,17685.8,17903.8
1014.26,12709.5,145.054
1192.6,14196.4,13214.2
5349.69,23202.4,21861.1
15694.2,15249.7,6460.43
6097.06,12151.9,1885.17
9085.17,5582.64,908.618
16464.7,15154.6,3016.38
5603.58,11715.5,1494.5
25920.9,14094.3,5833.22
11382.8,13993.6,3805.07
554.176,14109.3,1586.09
6401.41,10122.9,7153.89
37180,18905.4,5257.76
36970.2,15454.4,6441.72
4111.18,8621.63,4983.06
54969.5,17310.3,4941
33105.7,16014.4,8164.42
16715.5,17106.9,12895.7
9133.5,16595.1,1654.23
6208.85,11361.8,3768.67
15573.5,13697.9,7813
1350.04,11624.8,15126.8
3706.76,14652.6,12277.4
549.811,9774.94,292.99
5896.52,14921.2,6256.31
680.497,6907.51,6188.17
3861.44,10669.3,5435.39
10231.3,27275.3,3022.33
3544.83,18612.6,13499.9
75941.9,18190,14615.8
498.209,11121.6,7394.85
10656,8044.02,3864.67
1765.58,8884.52,3558.67
3075.08,8020.99,12263.9
21976.1,13484.7,2960.71
8399.25,10371.3,3297.89
16354,17427.6,13602.5
36686.5,16341.1,8127.51
12426.7,15541.7,1534.31
9785.83,16610.3,5676
8468.19,11879.3,3760.9
19234.7,13826.4,18714.7
8472.94,12773.9,8429.67
13713.9,9787.31,2136.27
929.817,15457.8,13001.4
36319.8,19552,10889.9
3865.53,18885.3,9052.56
38354.3,18604,4329.79
30888.3,17169.2,61867.4
16665.5,19038.4,7156.06
10105.1,15981.4,4960.51
24216.6,15264.2,5900.45
2463.09,13719.3,1667.1
44217.5,4262.3,6804.69
15355.6,15449.3,2890.74
16518.7,17854.3,4960.19
7376.16,13269.4,6235.12
31275.2,21622.9,13404.1
22434,12849.7,9330.87
11307,3014.3,11652
10157.5,17696.7,12695.3
2029.78,10804.9,5220.92
12838.8,15181.2,3262.5
4967.16,16825.8,2638.2
62624.6,16223.4,8330.62
727.552,10918.3,1142.85
21856.8,14548.6,11039.1
47741.1,21710.9,4757.1
17312,17190.7,6294.71
1494.06,10321.9,803.092
13676.1,15362.8,11415.8
4953.29,13391.8,2980.85
6282.27,7952.15,12986.3
799.946,9704.47,1295.07
16332,11170.1,10143.7
22858.4,14417.2,8399.2
14471.1,13560.6,3056.78
2033.2,18043.6,5305.98
7.86412,4951.27,3837.78
618.029,8821.68,12038.1
3320.02,4667.79,4755.96
21149.5,15753.9,23756.8
11060.3,10458.8,5556.95
25902.4,8635.09,9362.32
13131.7,19159.6,1141.01
14437.3,11888,6601.11
625.366,24871.8,1330.54
18415.9,28608.9,19747.7
26830.6,10733.1,5514.45
23440.4,14123.7,5873.59
18687.7,7942.74,9278.38
8845.33,14157.7,5509.18
9070.5,14711.6,3744.57
3350.82,12305.1,3712.78
1401.33,10624.7,24693.9
6620.83,15177.3,9303.26
33445.3,19618.8,4880.15
27339.5,21264.3,12733.4
2173.5,12514.3,3298.24
3021.83,7891.63,331.679
2943.59,11729.5,2738.41
20521.1,7284.27,20832
26141.2,14532.4,16574.3
18791.7,7023.31,15496.3
30165.5,16099.6,14943.9
3870.06,11352.8,17206.2
1155.98,9103.59,2156.34
1467.28,10907.8,3213.82
10875.3,11140.8,780.888
49973.5,24894.6,12258.2
282.491,9590.81,1617.22
1068.21,16636.2,1958.18
11363.1,9933.07,8195.71
5591.15,14206.7,5496.16
2249.72,14515.9,952.147
10652.5,8040.34,17060.2
8735.86,12458.3,26517.2
1429.81,14711.8,2814.76
33672.2,11484.6,13858.8
20861.7,21877.5,3362.63
8627.36,10327.7,3130.01
25711,13465,16209.5
4896.41,10952.5,18395.4
27495.9,8525.09,37309.8
15113.5,21334.4,13748.9
17867,19023.9,19438
50548.6,24016.8,11102
26797.7,19870.4,9897.44
36677.2,17394.5,6917.84
6870.35,15564.5,5789.17
10667.6,12916.6,5062.26
52083.2,10999.3,29514
460.125,19787.3,9167.8
6017.07,13746.4,6383.17
28079.3,23823.8,3782.97
3871.82,12491.4,4515.95
14591,5943.71,11262.5
435.305,9715.49,10166.1
-6.04795,9475.32,3791.32
18113.8,14247.8,20667.4
56835.8,18812.9,3814.53
6375.68,10713.1,11375.6
14256.1,11640.7,8614.94
8009.48,8514.71,8262.68
15545.8,18512.2,12400.7
