"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
444.441,6348.03,8586.31
-317.421,18036.3,5380.79
5881.43,12501.9,7966.46
-1300.69,6477.22,-1857.92
252.601,10297.2,1243.86
-460.727,13189.9,-1322.72
-348.88,4054.37,13497.4
-1263.79,9422.25,-2811.06
-1146.64,7437.46,8306.98
12544.2,25257,12868
6798.88,14479.3,28017.9
-1418.37,7874.24,-1754.78
-766.77,17035.1,-948.643
1238.51,18687.3,4043.42
12021.3,22182,29902.9
-1833.57,12956.3,-1486.79
-262.326,20955,1432.24
-1178.67,9235.85,3807.99
3652.75,5616.93,372.023
2247.14,11212.2,1633.24
8564.07,5131.35,-1435.03
-1274.65,5973.22,13932.1
-1532.65,16790.2,-1097.21
1878.15,15294.7,3078.14
-612.66,7673.23,-2402.44
5407.34,22762.5,2183.47
-996.386,13459.8,4497.41
22270.8,15263.8,8799.28
24496.7,10569.5,10977.1
1076.19,15811.4,4606.65
2184.12,18196.4,7358.92
3989.8,24279.9,20009.4
-1262.99,14117.8,-1343.81
-2076.51,4665.47,8632.32
-764.726,19515.5,-3303.69
-2301.23,8726.55,-2633.73
-1533.61,7306.58,-2100.46
8901.31,6436.09,8763.78
-2273.62,14803.4,-3968.35
8393.04,5468.82,6630.85
1204.9,3340.79,489.666
1002.74,13237.3,16412.7
27489.2,30363.7,46996.3
-1753.73,6960.24,2067.3
6545.68,8391.94,5611.81
-563.408,9713.25,6114.69
7586.04,12751.6,3197.77
1915.75,11119.3,-4343.15
4791.64,17858.5,8693.35
-1422.35,10997.2,2307.92
6496.58,9594.24,4670.7
-1902.63,14447.8,-1859.57
1894.68,8161.18,3458.17
-2534.77,7964.45,-4121.02
-2004.61,7160.25,-1276.47
-166.532,5239.51,-2377.12
444.981,12283.4,9336.84
359.284,8315.31,-455.527
-2104.93,18907.6,-3154.75
7847.02,11084.4,5939.78
-358.96,9324.02,2929.41
-236.943,18016.1,12126.4
-2488.39,5139.6,-3041.61
-2669.51,5883.43,-4390.04
-112.586,10124.5,-496.846
-37.8103,10258.9,-2032.04
-761.05,11066.7,5987.38
91.128,21044.2,418.123
-810.448,15457.2,-1069.44
-607.798,20395.5,-3912.6
8379.81,8225.98,10935.3
20614.3,3654.86,36326.3
-2392.81,10485.1,12662.5
-530.079,15445.7,-1673.44
-2510.23,6818.28,-3445.03
-1209.16,9343.93,4115.56
-1253.9,7614.02,-3344.6
-2937.33,5924.99,2180.01
2911.85,12634.4,10226.6
-2035.94,9256.18,-4734.22
1223.14,17444.3,2694.11
189.379,17070.9,2732.84
-1916.02,4565.94,7170.56
137.027,15636.7,5756.46
2118.88,4411.71,1883.34
299.776,12644.3,5139.35
946.908,15865.1,1731.1
7710.64,12781.3,9640.42
-518.416,16407.5,-3045.88
4924.26,15517.7,2821.18
-1057.03,7006.13,4618.47
2039.35,17463.5,6748.04
-2153.98,16327.8,-3054.01
-2667.84,15161.8,-2751.28
-2013.85,12156.3,-3088.38
-1498.25,14553.9,-125.547
-1637.2,10554.4,-3020.63
-2690.72,7333.5,-4522.44
-579.31,36496.4,12465.1
7188.07,14889.5,-1911.81
3136.94,4235.42,-2202.16
25320.5,11248.5,5544.52
8555.66,14820.7,28963.9
-2070.31,7108.03,312.304
12039.2,14072.7,10133.2
9528.07,17637.1,18207
-830.447,21016.8,438.812
-2352.07,10291.8,-2896.08
-1137.99,9860.45,12117
-1052.13,8029.14,-1086.47
-272.559,22717.8,4705.5
-2707.74,8538.84,1744.68
-1448.63,9452.65,-1620.04
2356.25,15918.8,4836.58
-905.001,13102.9,678.575
-1203.42,8991.55,-4240.62
-277.728,18107.1,-282.784
-2764.85,8634.14,-2327.27
-2924.22,10301.3,-5048.02
-1464.64,13922.4,-2407.66
-1421.53,9102.25,-2786.3
-3023.89,16252.1,9039.78
-241.691,4410.94,11494.9
25731.9,14181.8,85351
-2806.6,4387.12,725.143
18422.1,13052.4,8782.27
-1369.89,10483.2,-934.448
-1719.04,27985.1,6485.13
20921.4,15013.1,44964.3
-2067.42,9470.17,-3416.14
8133.19,9997.82,579.035
-780.91,11066.1,7160.13
5758.41,11829.2,7572.35
14063.8,17459.4,2470.41
