"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
1466.76,15595,2615.82
358.942,14072.9,3287.96
2134.06,13399.8,3048.84
1034.7,19570.6,11387.1
1650.61,8370.27,13259
447.242,12769.7,2512.33
1134.87,7139.32,6175.6
2548.64,21368.9,10482.7
794.276,13671.7,6891.46
1444.7,15527.6,9172.6
640.401,10514.2,2775.4
840.898,11548.9,5276.83
3834.75,23659.1,9520.81
1861.85,13060.5,18820.1
987.166,20910.6,22553.7
642.79,8004.8,2773.95
3443.79,7557.98,27346.7
1045.06,14802.6,6764.43
1965.83,18623.6,12987.5
1269.43,22921.9,13807.3
1050.65,11336.4,5892.46
1355.57,15643.4,15125
536.634,18274.5,2212.7
685.818,12660.2,1082.48
1062.13,32702.7,3098.04
1527.6,25406.3,5806.68
1131.11,16709.5,5559.49
2176.97,24136.1,5833.11
1191.8,11522.2,10396
826.816,9796.56,3240.71
2053.89,24823.9,13015.7
1242.52,17381.3,12357.5
1584.18,16993.4,19404
1193.52,23790.6,1358.29
2016.6,22856.3,38604.9
649.104,12132.5,1097.3
356.186,7860.53,3086.72
1150.85,10999.1,10108
1706.75,13794.5,32416.2
3015.31,27112.5,15948.6
1524.69,14706.8,7587.74
2746,14278.6,4692.45
859.201,14428.7,6666.97
5020.69,14089.1,31940.2
1419.2,18522.5,11620.9
851.368,14140.7,6198.52
727.187,12864.4,23335.2
843.376,11579.5,1211.75
641.594,5166.18,7872.02
1698.42,14650.8,28962.7
820.987,19786,3825.47
1562.4,13697.8,5902.33
1199.74,11295.2,12946.4
1698.12,15508.2,7321.18
1246.57,13611,2784.1
340.91,10300.2,2132.93
1887.16,19997.1,15692.5
980.761,20596,9485.19
5106.22,4114.62,11024.4
1639.36,22402.8,9747.01
556.2,15070.1,14546.9
486.529,13865.8,4650.06
527.758,7653.98,4109.26
766.261,13171.7,4402.48
1692.25,9753.34,14801.8
1178.12,17660.5,8261.6
