"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
14421.5,23724.3,3850.97
9309.12,6070.12,12151.5
3744.53,15551.1,12825.2
115.98,4319.04,5898.72
11601.8,16246.8,5252.83
1061.79,18554.6,22391.5
26943.3,19687.9,7903.35
13421.7,10275.8,1714.94
28838,14993.7,16973.4
24352.5,16246.9,6833.12
6371.29,24182.2,35466.1
47392.6,13931.1,22291.1
51929.1,16265.5,1681.06
14259.3,14604.9,2914.39
6453.28,15914.9,4693.91
7516.31,11121.6,592.681
1988.6,7744.35,2054.22
17452.5,16559.2,11926.6
28376.5,12627.6,1376.23
4890.08,11050.2,5487.16
5609.31,11344.9,2262.15
22114.9,18804.4,9744.65
8657.52,20673.8,4263.27
32665.3,15096.4,2258.66
12525.3,14724.4,7815.54
14313.6,11622,4538.28
5818.72,12236.9,12040.6
5934.59,13165.9,6271.09
25167.1,23196.2,4494.46
16841.9,17699.1,18960.1
25642.2,24598.6,48386.5
18902.9,12679.3,11532.8
513.212,22108.2,12747.6
9473.54,10834.5,17846.1
34811.2,17897.6,27771
2784.36,10694.2,2004.71
17177.3,15426.6,14164
13796.5,10631.1,5047.17
54656.5,28987.8,5132.82
22134.3,11756.2,23509.2
15991,14876.5,36047.9
42688.6,13827.3,10550.9
82551.5,39792.1,31395.5
5494.04,14056.7,10300.5
26158,18427.8,14029.1
15605.3,18950.8,35632.8
36173.5,13647.5,26899.9
2127.79,13892.9,3120.55
5165.96,9020.52,16371.6
1028.87,17800.2,1834.11
2576.95,6457.05,2300.19
29095.1,13317.9,11591.2
1137.66,17611.5,2667.48
13105.4,16092.8,9903.94
4790.5,15790.3,1366.61
24889.2,17888.2,8636.94
6053.29,15036.9,2983.62
13471.9,10741.9,1201.84
8809.84,11634.5,3526.2
26968.2,21483.4,18095
21130.1,25565.4,14644.8
18778.7,15582.4,5347.75
14303.7,18173.6,13788.9
4499.15,10282,1816.14
1888.34,13258,4839.54
681.157,5222.62,5200.83
9666.1,7838.87,11022
1806.49,6902.88,245.922
63295.4,17817.9,7782.64
19499.6,18236.9,12817.4
5039.07,14936.3,16959.1
21586,18104.3,2563.53
8651.94,11915.1,3588.44
7188.27,21670.5,8722.58
14314.3,11144.1,1631.45
12516.2,16689.1,2372.45
19829.6,10337.8,2238.21
5187.67,17904.6,11858
42029.3,21920.2,9887.2
26747.9,17201.2,23571.7
42726,21144,25763.7
5184.58,14234.1,2619.58
25585.8,17280.4,9360
30663.2,22511.5,14774.5
33848.8,12296.4,28592.9
23886.8,19873.5,37674
40193.9,14735.7,17944
41304.6,13115.2,6793.51
10515.7,10373.4,5593.44
33363.6,19694.4,7484.97
999.717,13308.6,10594
26374.2,10783.8,1442.27
26749.1,13907.6,4232.34
1079.51,8718.53,5929.77
11139.1,23953.1,11475.5
654.515,9803.43,6247.91
13428.3,18253.3,1476.05
3370.1,11406,907.625
8389.16,9505.74,3091.74
12762.5,11623.1,8415.31
39144.6,17911.5,5048.44
10708.8,10966.6,7119.11
38258.2,14517.3,5575.67
11690.3,12876.9,5211.51
8741.51,14656.6,21739.4
1787.71,10395.8,8714.14
13037.5,23711.7,35311.4
36337.3,20423.4,4243.81
39091.3,21841.8,17334.2
10467.4,23355.9,2400.96
3295.61,12823.5,6266.73
10227.8,12520.4,3497.71
18247.4,7917.1,2374.69
7414.48,13705.9,6130.18
51479.1,22621.2,17416
11188,6784.52,9605.68
9898.19,4421.83,2246.14
34931.5,11178.5,10792.6
13954.4,13483.4,6428.61
4572.47,13867.2,25473.2
4519.17,9274.12,6337.98
3519.85,16522.2,3972.44
65997.7,24950.9,19239.1
26404.8,10422.9,8363.91
35876.9,15073.7,570.301
17196.8,20761.4,7127.08
8747.87,10671.3,4714.46
61955.5,14593.4,2664.36
16883.8,21592.5,25965.5
25144.2,19519,5954.48
22238.5,11635.4,1622.77
11208.2,4178.37,30647
15825.3,17127.1,10186.9
8831.46,25997.4,13292.7
41486.5,10500.6,1346.79
10447.6,11042.8,1051.77
12323,24322,19467.8
7670.18,17568.5,1551.32
6623.59,9394.39,8202.81
6020.47,15209.1,11966.2
1892,11936.7,1163.96
22128.7,14579.4,3225.53
1513.79,14063.6,693.968
13940.4,14465.8,7181.98
7315.99,17024.9,8752.76
783.853,12589.2,9417.22
6386.43,18302.7,6649.12
36814.4,15373,2648.63
15824.2,12912.2,908.978
11720.7,20095.2,9474.09
24546.9,11136.4,1638.39
14266.7,12242.8,7947.71
32329.8,21204.7,4663.06
17387.9,20707.3,3152.76
15699.4,13809,12177.4
12771.8,15337.4,1369.63
6957.8,18057.7,19008.4
29290.8,16943.9,10563.1
55108.5,15800,13245.9
5434.89,11725.5,9041.01
13862.3,14752.3,12590.9
9355.52,22646.4,1326.68
35181,20224.9,16649.2
3860.46,13492.2,1006.15
18809.4,27499.8,5753.38
4513.24,14311.3,7593.92
22601,19803.5,10468.6
1386.97,10505.3,9768.04
8455.62,19871.5,30035.1
1016.9,10611.7,1952.19
16391.9,13515.4,13107.1
23074.1,11808.6,18583.2
12073.7,9683.83,4419.14
17897.1,15642.5,6375.42
28926.9,13540.2,32852.1
22.9329,5174.64,2385.76
10773.9,5325.6,9821.95
9230.94,13935.1,4266.14
9325.24,9140.58,16820
23739.7,8202.5,14670.3
38305.8,18502.2,8738.41
32847.5,23099.7,27514.2
3867.95,12706.3,10235.8
439.285,11198.3,5521.23
9237.82,15621.6,25534.9
9382.03,16142.5,2145.23
22652.4,22837.4,20935.5
18017,22857.4,26091.9
2009.08,17293.8,13532.1
13862.5,18516.3,8142.53
6857.38,12171.8,3018.24
21301.8,21700.1,17551.1
28072.7,13553.2,9068.02
6767.74,22995.2,6176.71
8398.66,8059.38,3568.53
88256.6,28346.4,26001.2
16389.2,9331.23,5414.06
34489.8,14348.4,9396.82
17642.5,19339.7,11251.2
3769.55,17054.3,2682.06
10016.8,6940.1,7325.04
395.631,21742.1,18928.7
9151,11901.8,6133.71
814.939,6387.19,12699.1
51304.4,16308.2,6940.63
1658.69,7518.74,3232.78
9952.2,21391.3,4487.93
16421.6,20585.7,16124.4
32809.8,24107.7,2982.45
24297.8,27321.1,14913.2
24782.9,18164.2,10511.7
24258.4,25593.7,4898.45
22213.6,21993.8,18593.3
4205.75,19219.9,10827.9
25215.2,20209.5,23788.9
23346.7,14352.2,12020.3
2890.67,11087.8,11963.1
22140.4,12202,29027.3
4904.5,9393.71,971.875
5682.99,10968.1,4736.51
7430.12,22166.1,13713.7
39418.3,25414.4,20909.8
8677.84,19224.1,29308.6
12936,10755,3764.55
17950.7,12499.6,8177.93
11453.1,14121.9,23595.4
20129.2,15795.6,40832.9
9688.55,21945.9,13287.6
19278.9,16590.1,16352.2
5951.44,11954.8,20263
32265.6,23139.8,11994
980.55,15159.8,1988.71
8631.28,15451.3,7605.26
15540.1,14056.6,14247.7
3978.16,8725.39,8527.24
18584.8,18184.4,8257.24
