"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
687.845,15018.6,3106.25
1045.16,13337.9,9559.65
578.869,15174.2,336.917
532.22,4208.44,17784.2
534.158,13316.2,4412.64
1306.49,11184.9,4020.01
883.924,20218.5,2400.23
486.714,7942.23,8860.39
1154.14,18969.9,23213.5
735.227,14942.4,8493.91
700.51,10907.4,5036.71
1234.98,11636.8,9858.47
2169.46,14907.3,11210.5
664.359,10493.4,19550.4
1022.08,9958.2,522.878
1246.29,23369.6,1643.66
692.494,10224.7,4384.74
321.603,9579.44,593.465
432.205,10788.2,3022.21
766.078,14471.8,6134.37
875.361,15838.5,3291.6
999.226,15245.2,4937.06
1012.44,13758.6,5840.67
438.312,8869.07,3463.05
1664.52,13673.1,8189.05
971.528,13631.2,1032.83
1387,5615.42,22136.6
1560.33,20845.6,3007.68
2077.86,8252.78,1963.23
329.781,15550.5,2113.21
736.677,12060.8,7297.97
954.451,9047.32,915.749
914.777,19301.7,4363.51
813.187,19205.7,6203.23
761.985,14579.3,2225.41
510.146,12228.5,865.419
1455.57,10979.7,8893.95
1973.8,24119.4,14895.8
978.467,10732.9,4827.07
1024.05,25522.8,22103
692.128,4733.19,3797.51
675.817,16176.9,5858.15
249.441,6476.81,1065.92
1260.79,17758.4,7195.08
1348.66,13154.1,37584.1
369.483,3338.37,5268.98
1041.01,21619.2,19426
721.958,7693.32,3785.23
1962.02,23135.2,2491.89
1315.94,13326.5,10116.5
689.419,10979.5,7926.79
1127.02,9594.7,18498.8
133.033,11943.7,2529.35
307.593,10165.4,1367.19
1936.84,11661.3,8301.81
798.602,7387.22,6439.92
406.668,12487.1,1035.51
1197.8,11233.6,3115.7
737.584,10880,1003.6
236.324,6902.06,4213.77
437.406,16395.8,4887.07
10455.1,20661.2,10550.5
2199.56,10418.2,7764.31
604.731,20092.2,10378.9
1151.52,9967.97,3664.07
588.23,18164.4,4986.53
126.177,9932.6,5424.85
910.367,26009.6,18817.5
266.179,8825.82,10059.8
806.133,7109.71,17723.6
2173.06,19467.7,16430.5
686.126,15202.4,2694.24
1092.67,17274.1,6230.15
812.357,9753.07,3401.11
2276.95,24481.6,42715.3
588.727,11383.6,8320.43
125.981,9297.51,4890.73
510.517,11197.2,12909.6
1252.15,10888.8,14563.1
1367.12,19288.8,5051.89
197.393,9541.3,1845.01
829.897,14724,1285.81
1794.91,19523.4,13332.4
236.287,8580.64,9839.16
262.851,12436,14155.4
1848.43,16984,4255.37
1909.52,14066.7,20186.4
294.236,6089.45,3555.28
681.937,17272.1,5904.2
1870.37,13854.2,34192.6
852.05,20096.7,6927.99
964.854,19046.1,9421.93
1764.49,12501.7,10392.5
2320.72,10375.2,28448.7
1925.15,19591.9,10273.7
395.909,8788.68,1751.76
791.632,13000.6,2056.85
460.81,22628.8,25134.9
282.395,12984.8,2219.28
914.653,13710.3,6651.58
154.755,11314.6,2054.04
896.076,20912.7,4305.61
1199.88,16073.7,10808.9
855.628,11065.2,8229.03
1227.25,7294.82,1420.99
1217.2,11568.6,2495.76
316.472,12407.6,3780.47
2606.73,15820.6,1141.27
654.603,10464.4,4133.65
1556.46,6650.49,3712.3
803.133,10442.2,8782.59
805.773,12902.4,12797.5
950.467,13907,6233.73
1137.55,14567.3,18858.9
165.124,14007.1,34823
2554.35,17977,4945.2
577.704,13895.9,7857.01
2465.12,23642.3,11387.5
805.022,10237.9,1363.26
1310,9607.96,4999.22
774.026,24930.9,24951.1
467.773,15292.4,8396.93
982.877,19214,9202.98
1281.7,17399.6,8221.17
889.67,9281.93,9484.81
1016.19,17767.4,4353.28
1002.31,19822.7,9678.4
739.158,16887.3,2580.73
1931.23,12511.7,5753.64
1912.84,18206.7,34659.8
1251.97,10706.9,20993.1
321.538,7930.81,1716.27
737.326,14248.7,13665.3
605.819,12728.8,6248.96
1572.95,20213.8,2144.47
1392.7,13297.5,20670.1
1424.53,8407.95,3789.8
1516.55,10180.9,7350.98
736.481,14972,1682.12
3138.44,12164,14466.5
940.256,9168.5,2226.78
740.223,22292.4,4311.43
567.758,10462.8,6758.51
482.904,10679.7,5199.76
928.784,20361.8,10158
1157,10367,8671
706.552,9673.12,7784.02
969.903,15327.5,709.901
1326,16965.8,2485.58
1355.91,12989.9,7340.2
774.416,9869.85,30469
767.533,22228.8,12560.3
1046.79,11441.1,16272.8
2114.2,12636.6,1540.63
1312.06,11181.2,7481.3
5857.9,16679.1,10240.5
1199.94,11583.9,6376.39
1530.98,14488.7,14498.1
409.533,13855.3,6586.87
686.033,9446.54,4435.68
541.251,8816.66,2197.91
791.818,7253.42,6220.48
873.714,23237.4,1700.42
1364.31,11672.5,8058.57
598.205,13428.3,1594.23
578.341,7668.51,6622.4
599.008,11739.1,9892.22
1330.46,6912.37,5093.36
-10.1413,4710.24,2201.06
1330,15901.1,10511
579.728,11832.1,2500.28
697.373,6271.8,1706.05
1516.64,15265.9,5725.56
1180.42,17838.2,16447.7
600.224,13333.7,8444.37
1829.1,24019.5,8367.75
627.537,11265.6,4915
2376.66,7229.64,40566.1
478.119,11368.3,3027.03
614.303,9142.21,2963.5
972.047,13018.7,1164.18
2068.56,14897.7,8586.87
1014.96,13876.6,5704.56
855.923,10240.1,20658.1
497.16,18457.5,7930.76
1364.37,14292.6,9079.06
1996.06,25879.6,15911.9
606.903,6663.72,1999.72
272.083,13031.6,4110.24
811.879,10112.9,18231.6
1850.28,22452.3,6742.9
1668.02,17037.9,2732.16
656.282,9123.02,1048.09
806.555,14359.5,5944.07
744.711,19726.3,965.406
424.404,13150.2,578.322
645.155,13106.1,2873.25
860.864,11779.2,8815.1
1619.59,13953.7,8182.01
1527.88,16294.4,9848.54
1503.46,9682.88,15646.2
1498.74,14325.2,7302.69
1257.66,18668.2,18106.1
1922.22,17839.2,12113.1
975.103,13162.7,2956.57
836.983,18976.9,7247.83
664.662,11565.2,9874.3
938.396,18982.1,4714.8
1413.55,24289.6,1982.36
703.101,21919.1,9895.88
722.138,6613.78,7694.77
1764.62,8267.15,45582.1
848.449,13261.3,3089.48
808.465,16456.4,72.4135
404.701,18321.9,8529.53
1654.11,15210.4,6007.37
1504.98,11086,6207
610.446,14904.3,9413.68
977.095,14275.8,2952.3
1173,11068.1,10034.8
864.683,17951.6,35661.6
1819.6,12155.1,10890.2
1622.1,12404.7,10415
1184.55,16629,13724.7
313.18,12807.7,2327.53
990.348,10334.8,4293.43
1084.19,13056.1,10473.8
813.4,9621.86,2332.17
353.443,12773.9,9746.83
765.924,15112.9,1374.27
4268.21,23948.2,6432.97
1887.62,19135.3,39241.8
1055.36,22776,9909.88
551.591,16992.2,6410.21
431.54,12974.6,1390.53
257.152,10402.7,3288.35
400.099,10963.6,8817.73
397.597,12056.1,7304.77
924.693,18921.3,12252.8
480.281,11374.8,4658.35
205.637,7888.36,1832.93
1129.82,25842.9,8028.61
1089.05,14061.5,609.524
1590.92,12201.5,4053.26
116.346,10204,7569.93
2286.05,17107.6,9571.03
877.401,14302.1,1641.21
1040.24,17417.3,30500.3
1107.89,8865.68,4039.97
1685.17,34310.6,4724.76
542.826,11293.5,2245.91
1177.88,13907.7,559.625
265.028,13427.3,11606.2
338.257,10586.5,2288.2
647.318,14865.9,15759.1
1004.77,11533.3,2436.65
1510.03,15008.8,5228.29
458.94,8246.98,10423.5
1863.62,26991.5,7135.31
1500.51,17816.5,22830.1
741.294,11456.3,494.982
1672.85,15297.6,10504.5
905.37,14641.7,1936.73
918.923,22907.6,20277.9
1292.78,14626.2,13244.5
351.487,8305.61,3598.48
923.859,7476,1050.2
948.353,14445.4,4441.81
869.024,17975.7,4825.23
613.334,13200.7,985.965
1364.98,6849.67,7528.37
5307.79,10715,53547.8
1153.07,10418.3,12031.4
498.117,15456.1,1414.71
1272.81,18140.9,1703.98
986.678,24961,11154.3
-46.4786,13843.6,19365.1
936.898,8761.16,7992.19
777.023,11329.2,9092.62
1324.96,14932.6,16529.1
1368.95,11748.1,10392.7
527.715,17118.4,1823.45
812.888,18700.6,4955.68
364.097,6434.42,1629.35
1113.26,12440.9,2784.49
836.655,13023.7,4213.14
1510.85,24235.3,9209.97
1860.21,12703.1,5377.24
1001.3,7980.55,735.683
950.895,17813.5,6796.64
1592.8,15680.9,3273.32
1098.73,18513.1,22781.1
914.648,12533.9,4586.78
3466.08,15552,19046.8
2818.99,33422.5,15560.6
765.398,13122,4162.43
1419.19,11743.7,4488.41
2096.4,26012.1,5206.76
653.613,3775.48,3317.38
558.546,12033.7,7111.41
1278.29,12500.4,15209.8
2559.14,12360.2,33189.8
883.421,11880.4,3565.83
348.319,13316.2,1904.79
1792.57,21203.1,21409.1
919.26,14515.5,15792.5
950.214,9283.45,2322.44
627.422,11884,1763.23
514.679,13348.1,1749.96
421.459,16167.4,2781.36
400.147,13358.6,18700.7
552.015,13267.4,14919.3
866.064,11602.3,4294.46
1789.78,8182.33,1601.6
1046.27,21716.1,6763.2
1088.31,11336.6,2486.95
349.412,11121,1873.5
1019.6,16157.4,7391.11
427.857,12268.9,3836.96
1670.85,27040.6,12028.7
1389.23,17036.1,19730.7
1107.19,12480.8,7864.53
2189.94,10824.7,9897.26
555.843,13973.1,3791.96
727.81,7023.06,3358.2
463.806,8702.38,2622.94
1930.4,13224.2,28992.4
1035.38,15713,11169.4
1085.9,12430.4,6040.26
817.12,19004.8,6083.99
559.78,9910.3,2138.23
535.728,13263.9,7631.29
387.426,7037.26,1971.09
1186.65,10198.6,9804.68
1118.96,15235.9,9902.91
255.045,14020.8,6826.88
366.582,5333.35,3599.36
1492.44,30204.3,7001.55
904.828,12264.2,6513.8
341.506,15005.7,1025.28
1646.78,13830.6,4769.39
862.258,27117.6,3194.86
241.441,9308.16,26577.6
1566.53,11118.3,5661.64
890.27,14894.8,6396.48
1017.2,20087.2,1747.79
1141.38,14688.2,6688.04
2575.83,15611.5,13174.8
1043.37,20380.7,10350.8
828.798,17852.3,4851.43
609.523,12009.5,1121.25
1089.57,19526.2,663.615
780.707,13019.6,9984.34
1700.61,22769.1,10730.6
592.856,12289.6,3926.2
1676.28,26974.7,21237.9
233.286,17047.8,1156.28
824.533,15762.5,3247.64
1633.64,7708.59,10884.1
1070.79,11814.3,12946.8
3376.71,18981.5,4363.79
1163.29,15374.4,941.277
1670.64,12805.4,16726.7
438.125,8848.02,9383.75
1314.02,4941.35,4075.98
1112.7,9430.22,13000.3
1092.59,17964.7,8992
357.996,7698.42,4925.34
1512.93,10707.9,10760.4
1164.42,19484.9,5308.19
1113.65,8938.94,1453.92
1559.09,12733.4,16045.2
58.6279,10849.4,257.447
921.794,19951.8,4492.95
1146.02,12670.4,5867.77
1566.72,19737.6,6923.64
1001.9,14865.2,1472.08
1633.04,16396.5,3380.34
