"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
34706.4,14178.9,69768.6
1630.93,22716.6,5912.16
11709.9,14376.1,5840.71
13094.8,16597.2,21306.6
17669.3,14206.4,17207.6
20449.2,19491.8,7533.4
15157.8,11989.7,12453.8
19111.5,18052.6,23286.4
3424.45,14909,27509.9
9187.58,9427.93,11236.4
22468.9,14781.2,8038.57
3975.18,22585.1,8040.65
10406,26950.7,4338.87
21131,12132.1,3374.98
9787.52,33949.9,15072.7
34255.9,26989.1,20235.7
1829.69,11208.2,850.378
1102.74,30551.4,583.533
15212,19627.5,6653.59
2320.94,10112.9,2229.47
662.786,15941,1188.13
17485.5,13256.4,6311.33
5255.48,15502.1,5701.6
10894.7,20988.7,10875.9
2661.96,22132.7,1235.56
35350.1,23358,10250.9
6297.45,12045.9,5553.27
13195.3,12436.7,15900
14161.8,17524.3,5616.19
6709.12,13568.6,1919.23
24494.9,14937.3,19904.7
7428.23,25709.3,8042.7
3205.87,11269.4,3722.69
537.276,7805.69,8376.59
15219.2,23289.9,7018.05
4214.17,16660.7,3352.6
44231.9,21385.1,19293.2
2796.66,17391.6,2015.16
41387.4,23131.9,29769.8
2451.31,16491.3,5078.73
2626.89,13568.1,10946
2753.31,22816.3,1401.79
27545.7,8000.94,65809.3
1270.08,14511.1,1428.77
22163.2,12753.6,6787.9
3303.3,9747.28,719.077
2464,10850.7,2041.92
9537.59,15261.6,5691.3
6990.56,12858.3,4543.49
11528.3,21830.8,10956.4
19120.6,11826.6,12791
28864.7,33294.6,10102.4
1892.3,8867.1,682.794
12356.7,23842.2,7390.7
5607.92,10893.6,8972.57
3432.77,17248.6,15254.1
38625.4,19733.6,10108
10540.9,25028.5,13082.5
8576.59,9958.21,21419.4
41286.3,12168.8,22564
5045.8,11116.9,4532.47
11498.2,21837.1,4965
1688.6,11730.7,1174.98
200.04,5849.07,5897.63
3091.07,21640.3,7723.68
1181.45,13602.9,1494.16
26089.1,16030.9,87134.6
996.938,6558.51,7326.84
10826.8,17643.7,6387.94
27206.2,13969.1,8235.95
1423.92,25289.5,1497.11
28573.6,16301.7,9885.47
1008.44,13270.6,6727.37
4530.4,9901.13,8297.43
18932.8,10972.9,10696
14256.8,12778.7,9708.73
25337.3,21291.1,25500.2
18630.8,24797.2,2917.11
5379.01,18367,34842.6
8034.39,6343.83,3632.22
14612.3,12494.8,2654.35
42951,19208.8,54935.3
17275.1,16791.2,14139.4
4398.1,18645.2,13863.8
3704.03,5214.21,26483.5
20270.1,15957.6,21162.4
16375.8,11432.3,49731.3
12842.7,16716.9,23741.7
867.043,16692,2045.67
203.774,6991.13,3156.66
2828.41,13752.9,5691.32
20300.1,36354.6,9880.36
3536.94,18791.7,3570.54
667.772,23723.2,6299.23
1235.98,14642.2,2577.2
19256.3,22895.9,7319.64
939.815,9397.08,2452.67
4233.38,9832.24,2770.27
12653,8888.42,51802
3995.17,10358.6,2092.95
1461.24,17402.1,3929.75
7617.24,9923.11,2304.13
