"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
5595.45,11152.8,5772.39
32598.8,16777.5,10552.5
9938.21,18593.8,51179.2
26216.7,19493.8,22519.1
23550,18218.2,2494.06
437.076,26221.6,21301.2
319.012,6341.95,2806.27
14008.8,13744.9,14221.8
1337.15,23344.2,13614.9
59319.4,36490.7,15831.9
13803.3,18811.6,1955.87
16881,14991.9,1494.25
31793.6,15679.8,6036.81
3359.75,14139.3,11299.2
693.999,9168.86,4081.09
4871.36,13638.3,12159.5
13154.5,12222.1,2436.86
21528.2,21315.1,25544.7
2550.62,9722.75,2771.91
31619.7,21399.2,11741.8
2050.29,16265.3,2857.26
2960.6,8603.4,5009.58
14864.1,14515.6,17601
49223.1,19452.3,6029.62
37631.1,19218.9,22142.7
33750.8,16367.2,16580.7
388.731,16074.4,9741.38
44958.2,4705.13,144513
2744.83,14419.7,268.327
3173.34,13208.3,2497.02
339.453,10982.2,5026.28
8842.93,10543.7,3659.6
26228.4,13848.9,2972.85
11815.9,31126.7,13669.9
28634.7,18576.4,7953.79
22221.3,16495.1,25171.5
3477.89,5345.43,22904.1
14822.1,13525.9,1724.93
7600.18,19311.2,14490.9
844.347,12542.9,7373.32
36353.9,23453.4,3305.87
14714.4,8994.94,21749.2
3778.51,17120.3,20711.1
3720.36,18671.8,1130.88
17347.2,12692.3,16479.2
9678.14,26067.9,19599.9
17825.2,14799.4,23476.2
15564.4,19018.4,7298.27
13515.5,8787.98,10099.4
1803.62,21920.1,8776.78
5748.53,15018,9956.5
6935.51,12282.7,8326.87
1814.6,12172.5,1808.4
7568.51,16294.3,6686.11
22201.1,22700.4,29139.8
797.034,13770.7,2086.67
2697.28,32983.5,6524.57
2432.66,15023,3883.09
215.598,8488.65,2814.11
1263.33,8946,8838.88
28752.4,16488.3,4559.37
1197.77,11576.7,7017.5
17458.4,22834.3,6215.36
33755.8,13456.1,6524.75
10449.7,16570,12084.7
11632.8,18950.5,5979.55
5509.08,16486.7,11004.8
8672.61,16407.5,5655.81
334.637,9940.61,5561.04
18336.1,15011.8,8532.42
54984.8,46033.2,20903.8
1721.17,12302.4,14771.9
14654.4,7309.03,17989.7
16057.9,16571.9,8485.37
11876.9,15114.9,4852.31
30262.1,9324,10148.5
17548.1,24636.2,12265.5
12225.4,20488.3,16827.3
2773.16,23634.7,3424.11
32050.7,15780,4653.75
25462.3,34377.4,16353.4
30230.4,12498.3,8275.61
35391.5,17889.8,7263.66
32411.9,15653.7,6704.25
21189.7,32275.3,36828.2
591.276,7367.18,4258.99
7042.8,20339.5,5190.71
5723.41,11972.7,15344.2
2676.35,13509.3,13862.9
17445.6,14389.8,12012.9
25685.4,26060.6,2841.07
24134.5,18967.2,40048.7
4151,14450.9,6725.23
12377.9,15981.7,20322.5
525.972,9627.35,14383.4
5827.78,22870.3,27613.4
25650.5,22670.6,11533.8
16313.9,12927.3,15459.9
8256.2,8309.33,4542.8
16871.8,14884.9,25444.7
6883.25,19232.7,40701.2
16324.1,19585.4,8776.19
1991.27,18514.2,7554.06
18380.2,14794.3,6596.52
6991.26,10629.7,12566.7
14963.4,11539.6,9190.45
689.95,3366.57,9520.43
53350.8,21865.6,3617.16
13082.8,18867.7,6077.5
22865.8,26270.6,8233.81
973.633,14375.3,4603.77
666.883,7102.15,9274.5
13375.2,11011.3,1856.23
8219.16,14324.4,23066.4
13552.8,16764.6,1329.89
6018.62,17485.6,5576.48
307.146,5547.82,90.1042
9970.96,25627.6,10579.1
41605.9,19183.2,23208.5
21593.8,19347.6,11284.3
2117.36,12620.5,22266.7
30979.5,26082.9,33035.3
1227,17862.9,1313.94
24122.4,16404.1,7696.97
17492.6,14575.1,3930.1
20098.9,17935,17904.6
14637.4,10410.5,6699.22
26667.3,30178.8,20628.8
22759.3,16621.2,7678.34
12607.7,11804.6,4162.08
15791.2,12613.7,7496.53
1304.76,15724.3,3749.16
4260.99,13709.9,13077.9
31467.9,29108.7,19549.2
329.104,7334.52,3758.41
6420.53,8926.84,1818.7
7507.74,10181.3,5901.01
28867.6,22285.7,9139.09
2550.69,10704.7,6169.32
16868,27531.8,41810.5
12183.7,11157.5,12985.5
11218.2,13114.5,4077.56
27620.8,17142.7,9739.68
861.171,10853.5,32831.7
9319.91,10923.8,5543.6
1990.2,11183.7,13448.7
27645.3,18055.2,17570.2
4198.41,16823.5,5904.55
13637.2,9320.63,6955.79
2980.54,14414.5,4076.18
29729.4,25433.4,7028.17
22450.2,9254.37,54136.4
22138.9,14047.5,25197.1
6305.41,6266.31,3087.61
7381.54,20682.6,8761.95
10948.5,12287.5,4125.31
2998.12,13223.9,2929.29
1484.85,3411.08,2791.99
21980.6,20012.9,12093.1
55544,25826.6,15793.9
12952.5,8361.82,15870.2
17714.3,18295.3,11974.5
2552.77,14142.2,10003.3
32836.8,19215,2573.88
23177.6,20137.3,37891.2
5809.13,19368.3,4580.47
21347.8,11476.8,2704.58
12913.2,13804.6,4663.34
31022.4,15412.2,6048.01
5598.65,9116.18,11021.9
28437.1,16986.7,5589.5
20194.2,24008.6,3763.67
784.01,14894.5,23302.6
25516.3,12683.9,12862.6
3047.31,19819.5,2314.89
