"Comp-APC-A", "Comp-Alexa Fluor 700-A", "Comp-PE-Cy7-A"
1360.39,14346.9,2516.4
1044.08,7377.76,24508.7
466.389,14855.4,13652.6
841.829,20989.7,10405.6
1206.64,19719.5,16361.1
1071.01,12403.7,34546
1261.55,17106.7,13340.7
603.009,13329.5,3307.19
156.367,10584.6,6180.63
590.376,23813.9,4983.45
954.243,14902.9,1676.67
1026.57,20651.3,27274.6
241.315,9862.67,5418.54
1837.23,23734.9,11673.1
684.03,17365.4,4371.74
996.56,17820.9,6267.01
1234.6,14919.8,18152.4
5456.76,24295,7286.93
959.476,17927.4,24013.2
416.032,15783.7,4072.55
807.486,16777.2,7451.18
631.719,17009.5,3848.63
1167.81,14613.3,5751.67
2778.31,11496.3,19698.6
668.163,16433.7,9648.8
1789.93,30290.3,3700.42
752.221,20045.1,16852.4
2155.08,18402.9,2571.49
860.12,16669.4,9639
568.798,14158.3,993.917
865.966,20555.6,13712.4
97.9045,11943.8,1523.98
951.511,14194.1,11520.7
495.664,10542.1,9889.98
953.796,12906.9,2567.46
748.597,16413.3,255.83
2152.39,15600.8,8584.22
1399.19,12124.9,14808.2
167.009,13766.2,6078.54
480.886,16382.5,4982.23
1817.44,9936.71,2854.75
1069.72,12243.2,11374.6
535.035,17282.1,6009.92
1424.68,25376.4,23093.8
937.089,20526.6,6343.66
1627.69,12081.4,10537.7
1611.36,25418,11405.3
899.802,15400.1,1343.42
569.098,14934.4,10844.3
661.14,12484.6,5803.8
1019.15,15381.8,13291.8
1214.22,13468.2,46319.1
2116.75,15660.1,6871.61
830.807,10748.2,533.921
1497.34,27103,2476.7
438.418,8775.99,6426.53
736.449,12430,4092.22
1044.69,15245.8,6273.99
1422.86,9356.81,4308.02
1671.19,12809.3,757.187
793.183,10207.6,4637.85
998.795,19945.9,9498.46
978.747,13925.3,4094.62
969.287,11732.4,18797.8
919.012,9862.9,2443.62
2489.74,3710.76,22333.5
1101.59,15132.8,856.826
841.466,14898.5,8917.5
917.086,12294.4,4019.99
186.515,4487.97,4694.59
14056.9,23247.2,91104.1
596.18,14836,7506.37
297.924,10455.8,2353.87
533.17,16757.4,2542
595.819,22448.6,22496.9
4432.92,23918.9,15655.8
1520.01,15641.5,13386.8
1339.99,19506.9,13932.8
941.503,18956.6,2962.61
1479.43,22406.8,1578.49
1120.44,22056.8,12342.5
801.828,8853.08,8153.55
1000.12,14145,11547.5
1726.44,12083.8,15135.3
2300.26,13689,6355.06
695.93,10032.6,1928.93
1263.98,16272.4,6816.54
4788.77,18255.7,21318.4
841.705,13015.1,1907.56
1073.41,14632.1,18816.8
693.17,14098.8,1550.51
1053.97,18007.2,6528.16
1064.24,13810.7,5068.53
4491.46,16660.6,28815.6
599.284,12748.2,4250.99
795.336,9163.65,2209.39
2249.13,20504.5,46124.5
535.507,18227.2,7173.35
901.733,14595.3,13805
1515.87,13792.8,17623.5
835.537,11055.2,8040.58
306.454,10669.7,2902.53
868.067,16124.7,1305.5
1197.69,13698.1,698.117
961.931,16582.6,10043.6
591.094,4717.79,4264.58
805.713,13585,1836.36
769.622,11863.4,1811.14
493.771,15034.8,5828.1
934.648,13521.1,3924.47
1216.3,12144.9,48821.6
623.974,12114.1,4059.61
2716.03,9781.17,7155.8
3936.53,15723.6,9553
804.95,13522.3,5868.8
1087.75,13936,4312.99
898.851,19190.9,10193.2
486.606,11699.9,488.194
1396.98,14565.7,6101.14
806.589,13734,1797.3
1461.87,8785.65,1437.24
721.358,8368.24,4847.52
990.358,19456.9,6250.05
495.102,16901.1,3503.51
1023.16,15024.7,667.265
1833.09,23542.8,4408.72
966.627,24737.4,26824.4
778.609,5585.21,1409.13
698.147,16916.6,874.378
1123.03,15311.3,1163.8
861.513,18296.3,10199.8
1388.1,14611.7,8460.76
945.167,17649.2,5078.35
351.857,8147.74,5613.85
566.241,5685.71,10623.8
903.138,17272.4,24039.4
874.823,23108.8,5818.71
879.338,17011.7,17577.1
2717.87,21813.1,5746.32
4312.01,14330.5,642.717
850.19,15419.6,14547.2
684.991,16617.1,13978.8
1926.13,29096.4,12499.4
1442.62,8661.06,2290.18
561.513,13806.9,4290.31
